"FTVFUND_GRNT_CODE","FTVFUND_FUND_CODE","UI_INDEX"
"BL7376","227376","788922"
"BL8544","228544","788921"
"CA6421","226421","793896"
"CA6422","226422","793897"
"CA6422","228083","793856"
"CA6483","226483","783949"
"CA6483","226483","793888"
"CA6483","226483","793890"
"CA6885","226885","793884"
"CA6905","226905","793878"
"CA6905","226906","848596"
"CA6912","226912","793881"
"CA6920","226920","793883"
"CA7052","227052","793862"
"CA7052","227053","724705"
"CA7130","227130","793874"
"CA7154","227154","793877"
"CA7187","227187","793873"
"CA7416","227416","793870"
"CA7416C","227417","793869"
"CA7416C","228161","793855"
"CA7467","227467","793866"
"CA7487","227487","793865"
"CA7542","227542","793867"
"CA7651","227651","793864"
"CA7651","227652","793863"
"CA7771","227771","793859"
"CA7826","227826","793860"
"CA7856","227856","793858"
"CA7885","227885","793857"
"CA8173","228173","793854"
"CA8244","228244","793853"
"CA8244","228245","724686"
"CA8305","228305","793851"
"CA8558","228558","793850"
"CA8724","228734","793849"
"CB2736","222736","897944"
"CB5659","225659","897884"
"CB6597","226597","897872"
"CB7337","227337","897871"
"CB7337","227338","897870"
"CB7393","227393","834689"
"CB7393","227393","897779"
"CB7768","227768","897867"
"CB7897","227897","897866"
"CB7897","228365","897775"
"CB8047","228047","897865"
"CB8219","228219","897864"
"CB8319","228319","897862"
"CB8319","228320","897861"
"CB8319","228323","897863"
"CB8319","228324","897860"
"CB8356","228356","897859"
"CB8380","228380","897858"
"CB8380","228381","897857"
"CB8500","228500","897856"
"CB8601","228601","897855"
"CB8785","228785","897851"
"CB8787","228787","897854"
"CB8829","228829","897853"
"CB8841","228841","897850"
"CB8847","228847","897852"
"CC7636","227636","539998"
"CC7636","227637","539997"
"CC7636","227816","539986"
"CC8118","228118","539979"
"CC8118","228119","539977"
"CC8118","228119","691516"
"CC8118","228120","539976"
"CC8118","228120","852868"
"CC8118","228121","539975"
"CC8118","228121","884642"
"CC8118","228122","539974"
"CC8118","228122","852867"
"CC8118","228170","539973"
"CC8118","228170","691515"
"CC8118","228171","539978"
"CC8520","228520","539971"
"CE7135","227135","873898"
"CE7135","227136","873897"
"CE7135","227137","873896"
"CE7135","227138","873895"
"CE7135","227139","873894"
"CE7135","227242","873893"
"CE7135","227243","873892"
"CE7135","227244","873891"
"CE7135","227245","873890"
"CE7135","227246","873889"
"CE7135","227247","873888"
"CE7135","227248","873887"
"CE7135","227249","873886"
"CE7135","227250","873885"
"CE7135","227251","873884"
"CE7135","227252","873883"
"CE7135","227253","873882"
"CE7135","228603","873867"
"CF8738","228738","918989"
"CF8766","228766","918988"
"CF8766","228767","918987"
"CF8768","228768","918986"
"CF8843","228843","918985"
"CF8843C","228844","918984"
"CG6646","226646","817919"
"CG6646","226647","817918"
"CG6646","226648","817917"
"CG6646","226649","817916"
"CG6646C","226650","817822"
"CG6646C","226709","817821"
"CG6879","226879","817914"
"CG6881","226881","817915"
"CG6968","226968","817913"
"CG7355","227355","817907"
"CG7355","227362","817912"
"CG7355","227363","817911"
"CG7355","227364","817910"
"CG7355","227365","817909"
"CG7355","227366","817908"
"CG7355C","227356","817817"
"CG7355C","227550","817814"
"CG7403","227403","817906"
"CG7403C","227418","817816"
"CG7508","227508","817905"
"CG7514","227514","817904"
"CG7514C","227515","817815"
"CG7994","227994","817902"
"CG7994","228066","817901"
"CG7994","228067","817900"
"CG7994","228068","817899"
"CG7994","228109","817808"
"CG7994C","227995","817811"
"CG7994C","228070","817810"
"CG8056","228056","817903"
"CG8056C","228057","817809"
"CG8075","228075","817898"
"CG8075","228076","817897"
"CG8313","228313","817896"
"CG8607","228607","817895"
"CG8675","228675","817894"
"CG8791","228791","817893"
"CG8791","228792","817892"
"CG8791","228793","817891"
